step,system_mean_waiting_time,system_mean_speed,system_total_stopped,system_total_running,system_total_arrived,system_total_departed,system_total_waiting_time,episode,step_in_episode,total_reward
0,5.333333333333333,4.403385373648035,6,0,0,0,128.0,1,25,0.6753418656677066
0,0.4782608695652174,4.873126636526167,2,0,0,0,11.0,1,26,1.7959925553391818
0,1.3333333333333333,5.763213048639334,5,0,0,0,32.0,1,27,1.3006803811687684
0,1.434782608695652,4.874119626261541,3,0,0,0,33.0,1,28,1.0959813547991397
0,2.0833333333333335,5.243802961808535,6,0,0,0,50.0,1,29,0.9706522698061134
0,2.0416666666666665,5.545691892808004,6,0,0,0,49.0,1,30,0.9023948608115817
0,2.9523809523809526,5.327499573441445,5,0,0,0,62.0,1,31,0.9205405028417474
0,4.7368421052631575,3.1221433330900803,6,0,0,0,90.0,1,32,0.44583342416448024
0,6.947368421052632,3.2717558154840214,9,0,0,0,132.0,1,33,0.30332504501203833
0,1.9523809523809523,3.2840208602391425,6,0,0,0,41.0,1,34,1.094678936175133
0,2.9565217391304346,4.773713223572953,6,0,0,0,68.0,1,35,1.0326932919540792
0,0.8,4.88818023871539,3,0,0,0,20.0,1,36,0.9236244705018628
0,1.1379310344827587,5.087500521056313,6,0,0,0,33.0,1,37,1.0076254188652896
0,0.1,5.020401420084011,2,0,0,0,3.0,1,38,0.8623576161770791
0,0.8125,4.778505480311964,7,0,0,0,26.0,1,39,0.5158001283567308
0,1.375,3.9158539820604856,11,0,0,0,44.0,1,40,0.22832486707270952
0,0.7428571428571429,3.687905861423027,6,0,0,0,26.0,1,41,0.34260007969606393
0,1.2105263157894737,4.6678850903377835,8,0,0,0,46.0,1,42,0.610066284096063
0,1.55,4.89627089225899,9,0,0,0,62.0,1,43,0.43849348818618067
0,0.34210526315789475,4.614993617677185,1,0,0,0,13.0,1,44,1.0082313753178103
0,0.55,5.6224476494491595,8,0,0,0,22.0,1,45,0.6945515646468788
0,0.9,4.606653390516927,9,0,0,0,36.0,1,46,0.07928841169488438
0,1.3636363636363635,4.901103020438135,12,0,0,0,60.0,1,47,0.3636699937493607
0,2.7222222222222223,4.102013738924061,13,0,0,0,98.0,1,48,0.16737882050281383
0,2.0285714285714285,5.224813204468025,7,0,0,0,71.0,1,49,0.631065727233397
0,1.9736842105263157,5.328682312196281,6,0,0,0,75.0,1,50,0.7435190337416794
0,2.6470588235294117,4.29371056306103,6,0,0,0,90.0,1,51,0.5176844973192818
0,2.735294117647059,5.4138005153559945,5,0,0,0,93.0,1,52,0.7174088304202818
0,4.096774193548387,4.20799534212109,9,0,0,0,127.0,1,53,0.6283683095333853
0,4.3125,4.599302633606866,8,0,0,0,138.0,1,54,0.29947046905821145
0,0.6666666666666666,5.709753446776525,4,0,0,0,22.0,1,55,1.3128171472412502
0,0.7428571428571429,6.181233511632363,4,0,0,0,26.0,1,56,1.4733697774587584
0,1.46875,5.88429962245104,5,0,0,0,47.0,1,57,1.0428976724527501
0,2.6,4.696464003077782,8,0,0,0,78.0,1,58,0.09280706357809694
0,2.161290322580645,4.797360980625075,8,0,0,0,67.0,1,59,0.7706183704152878
0,1.5454545454545454,4.591983394291048,6,0,0,0,51.0,1,60,0.7003447791938051
0,0.8857142857142857,5.568993373240677,3,0,0,0,31.0,1,61,1.0287841682927235
0,1.8181818181818181,5.076286034094173,7,0,0,0,60.0,1,62,0.43386816360479163
0,0.8235294117647058,3.757713501370636,8,0,0,0,28.0,1,63,0.6825403894625758
0,1.027027027027027,4.045572778692438,9,0,0,0,38.0,1,64,0.7008871497858518
0,0.625,3.9585050425402173,7,0,0,0,25.0,1,65,0.13938185962389832
0,1.1666666666666667,4.997005268606805,7,0,0,0,49.0,1,66,0.5210774172972188
0,1.1363636363636365,4.532427955247329,11,0,0,0,50.0,1,67,0.38369780391764147
0,1.4666666666666666,4.362703532902963,10,0,0,0,66.0,1,68,0.45433039214988746
0,1.619047619047619,4.894963794539462,8,0,0,0,68.0,1,69,0.4872650952663185
0,1.6923076923076923,3.8504938588575,7,0,0,0,66.0,1,70,0.46726662410099584
0,1.5714285714285714,4.062407525628176,9,0,0,0,66.0,1,71,0.6309130433710479
0,0.0,2.1854547507246025,0,0,0,0,0.0,2,0,0.35951878143947147
